scenario,block,lane,samples,p50_ms,p95_ms
authenticated_20,0,baseline,250,1.412393,1.780918
authenticated_20,0,candidate,250,1.425718,1.805132
authenticated_20,1,baseline,250,1.453403,1.956749
authenticated_20,1,candidate,250,1.447717,1.953016
authenticated_20,2,baseline,250,1.482874,2.572238
authenticated_20,2,candidate,250,1.511995,2.463819
authenticated_20,3,baseline,250,1.435959,2.272985
authenticated_20,3,candidate,250,1.444501,2.220178
authenticated_20,4,baseline,250,1.390274,1.785775
authenticated_20,4,candidate,250,1.409261,1.778817
authenticated_20,5,baseline,250,1.397311,2.007919
authenticated_20,5,candidate,250,1.374837,2.083848
authenticated_20,6,baseline,250,1.369102,1.854572
authenticated_20,6,candidate,250,1.370358,1.953602
authenticated_20,7,baseline,250,1.367160,1.689582
authenticated_20,7,candidate,250,1.366660,1.704656
authenticated_20,8,baseline,250,1.346195,1.868308
authenticated_20,8,candidate,250,1.324673,1.738552
authenticated_20,9,baseline,250,1.266634,1.847138
authenticated_20,9,candidate,250,1.243927,1.823062
authenticated_20,10,baseline,250,1.209685,1.645957
authenticated_20,10,candidate,250,1.234926,1.594085
authenticated_20,11,baseline,250,1.179563,1.500162
authenticated_20,11,candidate,250,1.192020,1.482246
anonymous_20,0,baseline,250,0.843959,1.084930
anonymous_20,0,candidate,250,0.857464,1.096102
anonymous_20,1,baseline,250,0.821338,1.109454
anonymous_20,1,candidate,250,0.830507,1.059148
anonymous_20,2,baseline,250,0.812309,1.060795
anonymous_20,2,candidate,250,0.799427,1.109319
anonymous_20,3,baseline,250,0.794172,1.035171
anonymous_20,3,candidate,250,0.789610,1.056414
anonymous_20,4,baseline,250,0.774521,0.995148
anonymous_20,4,candidate,250,0.774905,1.011563
anonymous_20,5,baseline,250,0.824088,1.076595
anonymous_20,5,candidate,250,0.836852,1.132459
anonymous_20,6,baseline,250,0.813688,1.046504
anonymous_20,6,candidate,250,0.810449,1.073814
anonymous_20,7,baseline,250,0.824728,1.113224
anonymous_20,7,candidate,250,0.826283,1.103136
anonymous_20,8,baseline,250,0.794440,1.140911
anonymous_20,8,candidate,250,0.805503,1.091997
anonymous_20,9,baseline,250,0.818855,1.020200
anonymous_20,9,candidate,250,0.822858,1.028976
anonymous_20,10,baseline,250,0.830234,1.205006
anonymous_20,10,candidate,250,0.806481,1.210084
anonymous_20,11,baseline,250,0.800370,1.040296
anonymous_20,11,candidate,250,0.795512,1.035033
control_legacy_legacy,0,baseline,250,1.154044,1.520786
control_legacy_legacy,0,candidate,250,1.171459,1.487860
control_legacy_legacy,1,baseline,250,1.160662,1.449839
control_legacy_legacy,1,candidate,250,1.183309,1.514772
control_legacy_legacy,2,baseline,250,1.174935,1.559603
control_legacy_legacy,2,candidate,250,1.165529,1.552911
control_legacy_legacy,3,baseline,250,1.258050,1.836680
control_legacy_legacy,3,candidate,250,1.247441,1.741773
control_legacy_legacy,4,baseline,250,1.240602,1.571696
control_legacy_legacy,4,candidate,250,1.249152,1.585126
control_legacy_legacy,5,baseline,250,1.285611,1.750324
control_legacy_legacy,5,candidate,250,1.293387,1.789579
control_legacy_legacy,6,baseline,250,1.231602,1.598935
control_legacy_legacy,6,candidate,250,1.250390,1.675007
control_legacy_legacy,7,baseline,250,1.279763,1.631972
control_legacy_legacy,7,candidate,250,1.256242,1.696674
control_legacy_legacy,8,baseline,250,1.256203,1.592814
control_legacy_legacy,8,candidate,250,1.246185,1.540794
control_legacy_legacy,9,baseline,250,1.302696,1.648370
control_legacy_legacy,9,candidate,250,1.291184,1.617988
control_legacy_legacy,10,baseline,250,1.302064,1.934803
control_legacy_legacy,10,candidate,250,1.329416,1.943369
control_legacy_legacy,11,baseline,250,1.335253,2.059060
control_legacy_legacy,11,candidate,250,1.339449,1.997155
