round,operation,p50_ms,p95_ms,statements_per_call,samples
1,my_posts,3.7149,6.4315,5,200
1,my_voted_posts,2.2297,3.1178,4,200
2,my_posts,2.5950,3.8102,5,200
2,my_voted_posts,1.9107,2.8443,4,200
3,my_posts,2.1431,3.1228,5,200
3,my_voted_posts,1.6226,3.4646,4,200
4,my_posts,2.0525,3.1087,5,200
4,my_voted_posts,1.4775,2.1070,4,200
