scenario,block,lane,samples,p50_ms,p95_ms
authenticated_20,0,baseline,250,1.581819,2.235222
authenticated_20,0,candidate,250,1.582467,2.285105
authenticated_20,1,baseline,250,1.453138,1.914474
authenticated_20,1,candidate,250,1.461796,1.940755
authenticated_20,2,baseline,250,1.353551,1.697228
authenticated_20,2,candidate,250,1.337684,1.750401
authenticated_20,3,baseline,250,1.283664,1.877703
authenticated_20,3,candidate,250,1.284157,1.883044
authenticated_20,4,baseline,250,1.169032,1.662220
authenticated_20,4,candidate,250,1.178362,1.566559
authenticated_20,5,baseline,250,1.354549,1.685259
authenticated_20,5,candidate,250,1.319405,1.718170
authenticated_20,6,baseline,250,1.381533,2.016801
authenticated_20,6,candidate,250,1.360952,2.129770
authenticated_20,7,baseline,250,1.342044,1.765548
authenticated_20,7,candidate,250,1.348433,1.804690
authenticated_20,8,baseline,250,1.380057,1.775757
authenticated_20,8,candidate,250,1.351361,1.809007
authenticated_20,9,baseline,250,1.268021,1.715991
authenticated_20,9,candidate,250,1.274472,1.599140
authenticated_20,10,baseline,250,1.271416,1.577232
authenticated_20,10,candidate,250,1.276705,1.599374
authenticated_20,11,baseline,250,1.335843,1.772853
authenticated_20,11,candidate,250,1.322806,1.742803
anonymous_20,0,baseline,250,0.739887,0.946771
anonymous_20,0,candidate,250,0.729471,0.943458
anonymous_20,1,baseline,250,0.731201,1.034045
anonymous_20,1,candidate,250,0.746660,1.051377
anonymous_20,2,baseline,250,0.744802,0.976745
anonymous_20,2,candidate,250,0.745941,0.975528
anonymous_20,3,baseline,250,0.794351,1.042425
anonymous_20,3,candidate,250,0.784348,1.020869
anonymous_20,4,baseline,250,0.785445,1.023464
anonymous_20,4,candidate,250,0.786183,0.998543
anonymous_20,5,baseline,250,0.741761,0.979112
anonymous_20,5,candidate,250,0.741418,0.973271
anonymous_20,6,baseline,250,0.809417,1.014652
anonymous_20,6,candidate,250,0.806722,1.027088
anonymous_20,7,baseline,250,0.833466,1.092232
anonymous_20,7,candidate,250,0.816086,1.096774
anonymous_20,8,baseline,250,0.789743,1.043569
anonymous_20,8,candidate,250,0.792434,1.056745
anonymous_20,9,baseline,250,0.798324,1.046436
anonymous_20,9,candidate,250,0.802610,1.044594
anonymous_20,10,baseline,250,0.813657,1.043026
anonymous_20,10,candidate,250,0.816997,1.054883
anonymous_20,11,baseline,250,0.825041,1.034515
anonymous_20,11,candidate,250,0.819747,1.069853
control_legacy_legacy,0,baseline,250,1.222571,1.492584
control_legacy_legacy,0,candidate,250,1.223190,1.538282
control_legacy_legacy,1,baseline,250,1.243096,1.555407
control_legacy_legacy,1,candidate,250,1.238930,1.595669
control_legacy_legacy,2,baseline,250,1.208622,1.669293
control_legacy_legacy,2,candidate,250,1.213370,1.605858
control_legacy_legacy,3,baseline,250,1.049196,1.283321
control_legacy_legacy,3,candidate,250,1.064211,1.313839
control_legacy_legacy,4,baseline,250,1.063773,1.349773
control_legacy_legacy,4,candidate,250,1.065310,1.320996
control_legacy_legacy,5,baseline,250,1.198665,1.919348
control_legacy_legacy,5,candidate,250,1.221953,1.631494
control_legacy_legacy,6,baseline,250,1.258445,1.649086
control_legacy_legacy,6,candidate,250,1.273614,1.608860
control_legacy_legacy,7,baseline,250,1.244264,1.610300
control_legacy_legacy,7,candidate,250,1.240371,1.562910
control_legacy_legacy,8,baseline,250,1.268111,1.622046
control_legacy_legacy,8,candidate,250,1.277635,1.642395
control_legacy_legacy,9,baseline,250,1.270702,1.643602
control_legacy_legacy,9,candidate,250,1.261916,1.573117
control_legacy_legacy,10,baseline,250,1.267570,1.614283
control_legacy_legacy,10,candidate,250,1.258124,1.631563
control_legacy_legacy,11,baseline,250,1.258299,1.612133
control_legacy_legacy,11,candidate,250,1.254473,1.568929
