scenario,block,lane,samples,p50_ms,p95_ms
pending,0,baseline,500,0.141065,0.229908
pending,0,candidate,500,0.141559,0.240628
pending,1,baseline,500,0.146616,0.269356
pending,1,candidate,500,0.143567,0.287088
pending,2,baseline,500,0.131948,0.235212
pending,2,candidate,500,0.131002,0.249504
pending,3,baseline,500,0.149671,0.312303
pending,3,candidate,500,0.150793,0.305093
pending,4,baseline,500,0.135875,0.257581
pending,4,candidate,500,0.138312,0.247581
pending,5,baseline,500,0.133979,0.279547
pending,5,candidate,500,0.136069,0.268804
pending,6,baseline,500,0.138683,0.279674
pending,6,candidate,500,0.140165,0.280240
pending,7,baseline,500,0.120416,0.191999
pending,7,candidate,500,0.121028,0.214267
pending,8,baseline,500,0.121530,0.229668
pending,8,candidate,500,0.120856,0.231313
pending,9,baseline,500,0.116971,0.198135
pending,9,candidate,500,0.116196,0.188976
pending,10,baseline,500,0.123745,0.309890
pending,10,candidate,500,0.125530,0.335769
pending,11,baseline,500,0.126861,0.226344
pending,11,candidate,500,0.124559,0.209909
pending,12,baseline,500,0.124887,0.212248
pending,12,candidate,500,0.126310,0.199527
pending,13,baseline,500,0.121587,0.261271
pending,13,candidate,500,0.122594,0.265802
pending,14,baseline,500,0.115407,0.191000
pending,14,candidate,500,0.115872,0.207605
pending,15,baseline,500,0.121135,0.192270
pending,15,candidate,500,0.126153,0.206300
pending,16,baseline,500,0.119214,0.206095
pending,16,candidate,500,0.119061,0.213151
pending,17,baseline,500,0.118866,0.216823
pending,17,candidate,500,0.120717,0.194610
pending,18,baseline,500,0.113729,0.197932
pending,18,candidate,500,0.115733,0.194205
pending,19,baseline,500,0.118442,0.192247
pending,19,candidate,500,0.116579,0.192553
completed,0,baseline,500,0.157121,0.285563
completed,0,candidate,500,0.157139,0.281696
completed,1,baseline,500,0.148749,0.289957
completed,1,candidate,500,0.150383,0.262747
completed,2,baseline,500,0.136917,0.253816
completed,2,candidate,500,0.135397,0.232153
completed,3,baseline,500,0.145437,0.250499
completed,3,candidate,500,0.138680,0.226778
completed,4,baseline,500,0.125370,0.234602
completed,4,candidate,500,0.124836,0.242926
completed,5,baseline,500,0.147831,0.347399
completed,5,candidate,500,0.150877,0.363199
completed,6,baseline,500,0.131708,0.227214
completed,6,candidate,500,0.130355,0.222501
completed,7,baseline,500,0.131718,0.232697
completed,7,candidate,500,0.135484,0.229828
completed,8,baseline,500,0.131487,0.225345
completed,8,candidate,500,0.129002,0.224494
completed,9,baseline,500,0.146764,0.276938
completed,9,candidate,500,0.143635,0.282332
completed,10,baseline,500,0.130332,0.241776
completed,10,candidate,500,0.131905,0.228771
completed,11,baseline,500,0.125230,0.220275
completed,11,candidate,500,0.127532,0.213931
completed,12,baseline,500,0.130667,0.215012
completed,12,candidate,500,0.132031,0.215003
completed,13,baseline,500,0.148570,0.250367
completed,13,candidate,500,0.148095,0.260180
completed,14,baseline,500,0.128731,0.211228
completed,14,candidate,500,0.133201,0.217063
completed,15,baseline,500,0.153546,0.303737
completed,15,candidate,500,0.157648,0.296521
completed,16,baseline,500,0.135867,0.234400
completed,16,candidate,500,0.139132,0.230648
completed,17,baseline,500,0.139191,0.230279
completed,17,candidate,500,0.137601,0.233615
completed,18,baseline,500,0.125594,0.207454
completed,18,candidate,500,0.128024,0.207080
completed,19,baseline,500,0.126351,0.226926
completed,19,candidate,500,0.129748,0.223155
control_legacy_legacy,0,baseline,500,0.130492,0.221759
control_legacy_legacy,0,candidate,500,0.132046,0.228583
control_legacy_legacy,1,baseline,500,0.116887,0.201746
control_legacy_legacy,1,candidate,500,0.118049,0.194475
control_legacy_legacy,2,baseline,500,0.119627,0.201218
control_legacy_legacy,2,candidate,500,0.122152,0.186331
control_legacy_legacy,3,baseline,500,0.128768,0.241706
control_legacy_legacy,3,candidate,500,0.128924,0.230856
control_legacy_legacy,4,baseline,500,0.130791,0.206360
control_legacy_legacy,4,candidate,500,0.127602,0.214487
control_legacy_legacy,5,baseline,500,0.109616,0.186664
control_legacy_legacy,5,candidate,500,0.110239,0.191275
control_legacy_legacy,6,baseline,500,0.114854,0.183466
control_legacy_legacy,6,candidate,500,0.112078,0.181892
control_legacy_legacy,7,baseline,500,0.111640,0.175330
control_legacy_legacy,7,candidate,500,0.114765,0.179136
control_legacy_legacy,8,baseline,500,0.115945,0.186705
control_legacy_legacy,8,candidate,500,0.115606,0.193021
control_legacy_legacy,9,baseline,500,0.116640,0.184736
control_legacy_legacy,9,candidate,500,0.117947,0.182275
control_legacy_legacy,10,baseline,500,0.117970,0.185982
control_legacy_legacy,10,candidate,500,0.120591,0.183992
control_legacy_legacy,11,baseline,500,0.114526,0.219090
control_legacy_legacy,11,candidate,500,0.118192,0.194583
control_legacy_legacy,12,baseline,500,0.116979,0.197293
control_legacy_legacy,12,candidate,500,0.116110,0.193286
control_legacy_legacy,13,baseline,500,0.114484,0.187605
control_legacy_legacy,13,candidate,500,0.117629,0.194331
control_legacy_legacy,14,baseline,500,0.121985,0.191391
control_legacy_legacy,14,candidate,500,0.120192,0.198529
control_legacy_legacy,15,baseline,500,0.117699,0.194268
control_legacy_legacy,15,candidate,500,0.120146,0.205192
control_legacy_legacy,16,baseline,500,0.115863,0.191006
control_legacy_legacy,16,candidate,500,0.117795,0.178571
control_legacy_legacy,17,baseline,500,0.134347,0.270835
control_legacy_legacy,17,candidate,500,0.138205,0.270922
control_legacy_legacy,18,baseline,500,0.121819,0.217860
control_legacy_legacy,18,candidate,500,0.120207,0.226574
control_legacy_legacy,19,baseline,500,0.129518,0.234199
control_legacy_legacy,19,candidate,500,0.125257,0.216002
