scenario,block,lane,samples,p50_ms,p95_ms
pending,0,baseline,500,0.169971,0.311026
pending,0,candidate,500,0.169417,0.321598
pending,1,baseline,500,0.153042,0.312570
pending,1,candidate,500,0.146203,0.314743
pending,2,baseline,500,0.162555,0.305251
pending,2,candidate,500,0.151072,0.310349
pending,3,baseline,500,0.124918,0.234387
pending,3,candidate,500,0.124326,0.228736
pending,4,baseline,500,0.123775,0.197223
pending,4,candidate,500,0.119702,0.200110
pending,5,baseline,500,0.126186,0.230254
pending,5,candidate,500,0.122063,0.214443
pending,6,baseline,500,0.122238,0.212938
pending,6,candidate,500,0.120039,0.209066
pending,7,baseline,500,0.126751,0.236554
pending,7,candidate,500,0.125254,0.223693
pending,8,baseline,500,0.125843,0.201657
pending,8,candidate,500,0.125177,0.202611
pending,9,baseline,500,0.120262,0.191545
pending,9,candidate,500,0.119906,0.194613
pending,10,baseline,500,0.121296,0.195953
pending,10,candidate,500,0.123744,0.201841
pending,11,baseline,500,0.121907,0.187181
pending,11,candidate,500,0.121614,0.194531
pending,12,baseline,500,0.119498,0.195893
pending,12,candidate,500,0.120578,0.188325
pending,13,baseline,500,0.123926,0.199633
pending,13,candidate,500,0.121720,0.204182
pending,14,baseline,500,0.123859,0.197439
pending,14,candidate,500,0.124202,0.202595
pending,15,baseline,500,0.118075,0.198036
pending,15,candidate,500,0.117222,0.200733
pending,16,baseline,500,0.123601,0.259866
pending,16,candidate,500,0.122798,0.234580
pending,17,baseline,500,0.120791,0.185069
pending,17,candidate,500,0.120344,0.193631
pending,18,baseline,500,0.133334,0.266590
pending,18,candidate,500,0.134141,0.256161
pending,19,baseline,500,0.119522,0.184705
pending,19,candidate,500,0.120170,0.196137
completed,0,baseline,500,0.139931,0.241650
completed,0,candidate,500,0.141148,0.227313
completed,1,baseline,500,0.156977,0.358511
completed,1,candidate,500,0.161075,0.369397
completed,2,baseline,500,0.131760,0.239890
completed,2,candidate,500,0.135280,0.226151
completed,3,baseline,500,0.136727,0.237331
completed,3,candidate,500,0.138763,0.228540
completed,4,baseline,500,0.144902,0.247148
completed,4,candidate,500,0.145027,0.253375
completed,5,baseline,500,0.138984,0.222690
completed,5,candidate,500,0.144011,0.245485
completed,6,baseline,500,0.160834,0.333612
completed,6,candidate,500,0.156328,0.320640
completed,7,baseline,500,0.180651,0.339027
completed,7,candidate,500,0.178016,0.342792
completed,8,baseline,500,0.133596,0.269002
completed,8,candidate,500,0.136583,0.298191
completed,9,baseline,500,0.141602,0.230882
completed,9,candidate,500,0.145342,0.227416
completed,10,baseline,500,0.137226,0.226316
completed,10,candidate,500,0.137549,0.236520
completed,11,baseline,500,0.131948,0.215923
completed,11,candidate,500,0.135661,0.236756
completed,12,baseline,500,0.137039,0.232611
completed,12,candidate,500,0.135658,0.229889
completed,13,baseline,500,0.134053,0.216804
completed,13,candidate,500,0.132395,0.217093
completed,14,baseline,500,0.135083,0.276880
completed,14,candidate,500,0.137364,0.274797
completed,15,baseline,500,0.135669,0.241682
completed,15,candidate,500,0.135386,0.226218
completed,16,baseline,500,0.131496,0.219598
completed,16,candidate,500,0.131310,0.213050
completed,17,baseline,500,0.139259,0.232587
completed,17,candidate,500,0.134125,0.234671
completed,18,baseline,500,0.137702,0.229765
completed,18,candidate,500,0.138300,0.216493
completed,19,baseline,500,0.131429,0.210821
completed,19,candidate,500,0.137437,0.216302
control_legacy_legacy,0,baseline,500,0.121081,0.204500
control_legacy_legacy,0,candidate,500,0.121253,0.194155
control_legacy_legacy,1,baseline,500,0.110018,0.194500
control_legacy_legacy,1,candidate,500,0.107298,0.182349
control_legacy_legacy,2,baseline,500,0.112964,0.189903
control_legacy_legacy,2,candidate,500,0.110702,0.183492
control_legacy_legacy,3,baseline,500,0.111637,0.201068
control_legacy_legacy,3,candidate,500,0.111330,0.199656
control_legacy_legacy,4,baseline,500,0.117020,0.187244
control_legacy_legacy,4,candidate,500,0.116432,0.185768
control_legacy_legacy,5,baseline,500,0.116939,0.187380
control_legacy_legacy,5,candidate,500,0.116367,0.186524
control_legacy_legacy,6,baseline,500,0.112865,0.203752
control_legacy_legacy,6,candidate,500,0.110074,0.187691
control_legacy_legacy,7,baseline,500,0.115412,0.186225
control_legacy_legacy,7,candidate,500,0.114071,0.186701
control_legacy_legacy,8,baseline,500,0.115935,0.192757
control_legacy_legacy,8,candidate,500,0.118498,0.191831
control_legacy_legacy,9,baseline,500,0.118864,0.186310
control_legacy_legacy,9,candidate,500,0.118431,0.183302
control_legacy_legacy,10,baseline,500,0.118001,0.200066
control_legacy_legacy,10,candidate,500,0.117356,0.190429
control_legacy_legacy,11,baseline,500,0.120599,0.195246
control_legacy_legacy,11,candidate,500,0.117143,0.186154
control_legacy_legacy,12,baseline,500,0.128534,0.250111
control_legacy_legacy,12,candidate,500,0.125585,0.233432
control_legacy_legacy,13,baseline,500,0.109513,0.219932
control_legacy_legacy,13,candidate,500,0.109777,0.212640
control_legacy_legacy,14,baseline,500,0.111563,0.225456
control_legacy_legacy,14,candidate,500,0.110812,0.244873
control_legacy_legacy,15,baseline,500,0.138354,0.282875
control_legacy_legacy,15,candidate,500,0.137748,0.263440
control_legacy_legacy,16,baseline,500,0.128074,0.239111
control_legacy_legacy,16,candidate,500,0.129582,0.239849
control_legacy_legacy,17,baseline,500,0.120409,0.202118
control_legacy_legacy,17,candidate,500,0.120467,0.196370
control_legacy_legacy,18,baseline,500,0.141499,0.281811
control_legacy_legacy,18,candidate,500,0.138768,0.264026
control_legacy_legacy,19,baseline,500,0.135010,0.266603
control_legacy_legacy,19,candidate,500,0.135863,0.260751
